JLPT N5;Категория;Кандзи;Кана;Ромадзи;Перевод
N5;Направления и местоположение;どこ;どこ;doko;где?
N5;Направления и местоположение;こちら;こちら;kochira;здесь, эта сторона (вежливо)
N5;Направления и местоположение;そちら;そちら;sochira;там, у вас (вежливо)
N5;Направления и местоположение;あちら;あちら;achira;вон там (вежливо)
N5;Направления и местоположение;どちら;どちら;dochira;где? (вежливо), который?
N5;Вопросительные слова;何;なに・なん;nani / nan;что?
N5;Вопросительные слова;誰;だれ;dare;кто?
N5;Вопросительные слова;どなた;どなた;donata;кто? (вежливо)
N5;Вопросительные слова;どこ;どこ;doko;где?
N5;Вопросительные слова;どちら;どちら;dochira;где? (вежливо), который из?
N5;Вопросительные слова;どれ;どれ;dore;который? (из нескольких)
N5;Вопросительные слова;どの;どの;dono;который? (перед существительным)
N5;Вопросительные слова;いつ;いつ;itsu;когда?
N5;Вопросительные слова;いくつ;いくつ;ikutsu;сколько? (о количестве)
N5;Вопросительные слова;いくら;いくら;ikura;сколько стоит?
N5;Вопросительные слова;なぜ;なぜ;naze;почему?
N5;Вопросительные слова;どうして;どうして;doushite;почему? как так?
N5;Вопросительные слова;どう;どう;dou;как? каким образом?
N5;Вопросительные слова;どんな;どんな;donna;какой? (каков на вид)
N5;Вопросительные слова;どのくらい;どのくらい;dono kurai;сколько примерно?
N5;Вопросительные слова;何時;なんじ;nanji;который час?
N5;Вопросительные слова;何日;なんにち;nannichi;какое число? сколько дней?
N5;Вопросительные слова;何人;なんにん;nannin;сколько человек?
N5;Вежливые формы и частицы;〜さん;〜さん;~san;суффикс вежливости (господин, госпожа)
N5;Вежливые формы и частицы;〜ちゃん;〜ちゃん;~chan;ласковый суффикс (для детей, близких друзей)
N5;Вежливые формы и частицы;〜くん;〜くん;~kun;суффикс для мальчиков и младших по статусу
N5;Вежливые формы и частицы;〜さま;〜さま;~sama;почтительный суффикс (уважительно)
N5;Вежливые формы и частицы;御〜;ご〜 / お〜;go~/o~;префикс вежливости перед существительными
N5;Вежливые формы и частицы;です;です;desu;связка (быть), вежливый стиль
N5;Вежливые формы и частицы;ます;ます;masu;окончание глагола (вежливый стиль)
N5;Вежливые формы и частицы;でした;でした;deshita;"прошедшая форма ""です"""
N5;Вежливые формы и частицы;ません;ません;masen;"отрицательная форма ""ます"""
N5;Вежливые формы и частицы;ましょう;ましょう;mashou;давайте (предложение действия)
N5;Вежливые формы и частицы;ください;ください;kudasai;пожалуйста (дайте, сделайте)
N5;Вежливые формы и частицы;どうぞ;どうぞ;douzo;пожалуйста (предложение, разрешение)
N5;Вежливые формы и частицы;どうも;どうも;doumo;очень, спасибо
N5;Вежливые формы и частицы;ありがとう;ありがとう;arigatou;спасибо
N5;Вежливые формы и частицы;ありがとうございます;ありがとうございます;arigatou gozaimasu;большое спасибо (вежливо)
N5;Вежливые формы и частицы;どういたしまして;どういたしまして;douitashimashite;не за что
N5;Вежливые формы и частицы;ごめんなさい;ごめんなさい;gomennasai;извините
N5;Вежливые формы и частицы;すみません;すみません;sumimasen;извините, простите
N5;Вежливые формы и частицы;失礼します;しつれいします;shitsurei shimasu;извините за беспокойство (вежливо)
N5;Вежливые формы и частицы;いらっしゃいませ;いらっしゃいませ;irasshaimase;добро пожаловать! (в магазине)
N5;Вежливые формы и частицы;よろしくお願いします;よろしくおねがいします;yoroshiku onegai shimasu;приятно познакомиться (вежливо)
N5;Вежливые формы и частицы;はい;はい;hai;да
N5;Вежливые формы и частицы;いいえ;いいえ;iie;нет
N5;Вежливые формы и частицы;ええ;ええ;ee;да (разговорное)
N5;Вежливые формы и частицы;うん;うん;un;"ага (разговорное ""да"")"
N5;Вежливые формы и частицы;いや;いや;iya;нет (разговорное, неодобрительное)
N5;Вежливые формы и частицы;もしもし;もしもし;moshimoshi;алло (по телефону)
N5;Вежливые формы и частицы;〜が;〜が;~ga;но, однако
N5;Вежливые формы и частицы;〜けど;〜けど;~kedo;но, однако (разговорное)
N5;Вежливые формы и частицы;〜の;〜の;~no;вопросительная частица (разговорная)
N5;Вежливые формы и частицы;〜ね;〜ね;~ne;да, правда? (выражение согласия)
N5;Вежливые формы и частицы;〜よ;〜よ;~yo;частица утверждения, восклицания
N5;Вежливые формы и частицы;〜から;〜から;~kara;потому что, из-за
N5;Вежливые формы и частицы;〜ので;〜ので;~node;потому что (более вежливо)
N5;Вежливые формы и частицы;でも;でも;demo;но, однако, тем не менее
N5;Вежливые формы и частицы;そして;そして;soshite;затем, потом
N5;Вежливые формы и частицы;それから;それから;sorekara;после этого, затем
N5;Вежливые формы и частицы;だから;だから;dakara;поэтому, таким образом
N5;Вежливые формы и частицы;どうして;どうして;doushite;почему?
N5;Вежливые формы и частицы;たぶん;たぶん;tabun;возможно, наверное
N5;Вежливые формы и частицы;もちろん;もちろん;mochiron;конечно
N5;Вежливые формы и частицы;いちばん;いちばん;ichiban;самый, номер один
N5;Вежливые формы и частицы;もっと;もっと;motto;больше
N5;Вежливые формы и частицы;すごく;すごく;sugoku;очень, сильно
N5;Вежливые формы и частицы;ずっと;ずっと;zutto;всегда, все время
